                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                  1.295,                0.91784,                 1.2613,                0.94733,                0.96296,                0.97035,                0.60185,                 1.5116,                0.75264,                  1.237,              0.0004522,              0.0004522,              0.0004522
                     86,                 1.1615,                 0.8673,                 1.1817,                 0.9371,                0.96296,                0.97259,                0.60986,                 1.5055,                0.74595,                 1.2244,              0.0004456,              0.0004456,              0.0004456
                     87,                 1.1448,                0.83191,                 1.1548,                0.93509,                0.96296,                0.97086,                0.61852,                 1.4746,                0.74274,                 1.2123,               0.000439,               0.000439,               0.000439
                     88,                 1.1751,                0.87367,                  1.176,                0.95741,                0.93607,                0.97023,                0.62236,                 1.4473,                 0.7328,                 1.2025,              0.0004324,              0.0004324,              0.0004324
                     89,                  1.118,                0.82347,                 1.1223,                0.95582,                0.93854,                0.97228,                0.63028,                 1.4245,                0.72185,                 1.1963,              0.0004258,              0.0004258,              0.0004258
                     90,                 1.1968,                0.83755,                  1.241,                0.95477,                0.94086,                0.97253,                0.63201,                 1.4157,                 0.7173,                 1.1889,              0.0004192,              0.0004192,              0.0004192
                     91,                 1.2215,                0.90977,                 1.2483,                0.95584,                0.96275,                0.97491,                0.60711,                 1.4513,                0.72301,                 1.1869,              0.0004126,              0.0004126,              0.0004126
                     92,                 1.1566,                0.85351,                 1.1469,                0.96033,                   0.96,                0.97609,                 0.5993,                 1.4714,                0.72342,                 1.1934,               0.000406,               0.000406,               0.000406
                     93,                  1.177,                0.86984,                 1.2393,                  0.962,                0.97385,                0.97907,                0.60583,                 1.4748,                0.72221,                 1.1943,              0.0003994,              0.0003994,              0.0003994
                     94,                 1.1953,                0.87687,                 1.2183,                0.93409,                0.97467,                0.97871,                0.60879,                 1.4989,                0.72877,                 1.2042,              0.0003928,              0.0003928,              0.0003928
                     95,                 1.1624,                0.80331,                 1.1603,                0.91905,                0.96296,                0.97451,                0.59198,                 1.5163,                 0.7356,                 1.2122,              0.0003862,              0.0003862,              0.0003862
                     96,                 1.1808,                0.88474,                 1.2353,                0.92201,                0.97693,                0.97281,                0.60911,                 1.5251,                0.73144,                 1.2165,              0.0003796,              0.0003796,              0.0003796
                     97,                  1.191,                0.85611,                 1.1905,                0.91313,                0.98148,                0.96971,                0.61674,                 1.5179,                0.73379,                 1.2167,               0.000373,               0.000373,               0.000373
